Time,Channel A,Channel B
(us),(V),(mV)

-480.19597307,-1.75527200,-141.88060000
-480.09597307,-1.75939200,-141.65170000
-479.99597308,-1.76213900,-141.48380000
-479.89597309,-1.76458000,-141.39230000
-479.79597309,-1.76763200,-141.13280000
-479.69597310,-1.77129400,-140.94970000
-479.59597310,-1.77404100,-140.64450000
-479.49597311,-1.77724500,-140.46140000
-479.39597312,-1.78090800,-140.17150000
-479.29597312,-1.78319600,-139.88160000
-479.19597313,-1.78701100,-139.85110000
-479.09597313,-1.78884200,-139.69850000
-478.99597314,-1.79158900,-139.42380000
-478.89597315,-1.79448800,-138.82870000
-478.79597315,-1.79982900,-139.01180000
-478.69597316,-1.80059200,-138.81340000
-478.59597316,-1.80379700,-138.58450000
-478.49597317,-1.80715400,-138.32510000
-478.39597318,-1.81157900,-137.91310000
-478.29597318,-1.81310500,-137.86740000
-478.19597319,-1.81630900,-137.83680000
-478.09597319,-1.81859800,-137.53170000
-477.99597320,-1.82241300,-137.05860000
-477.89597321,-1.82592200,-136.96710000
-477.79597321,-1.82805900,-136.69240000
-477.69597322,-1.83080500,-136.32620000
-477.59597322,-1.83446800,-136.57030000
-477.49597323,-1.83706200,-136.26510000
-477.39597323,-1.83996100,-135.67000000
-477.29597324,-1.84377600,-135.94470000
-477.19597325,-1.84591200,-135.54800000
-477.09597325,-1.84988000,-135.36480000
-476.99597326,-1.85232100,-135.01390000
-476.89597326,-1.85430500,-134.78500000
-476.79597327,-1.85796700,-134.64770000
-476.69597328,-1.86071300,-134.51030000
-476.59597328,-1.86437600,-134.32720000
-476.49597329,-1.86651200,-133.89990000
-476.39597329,-1.86803800,-133.62530000
-476.29597330,-1.87185300,-133.42690000
-476.19597331,-1.87582000,-133.24380000
-476.09597331,-1.87841400,-133.25910000
-475.99597332,-1.88116100,-132.90810000
-475.89597332,-1.88360200,-132.52660000
-475.79597333,-1.88772200,-132.29770000
-475.69597334,-1.88879100,-132.19090000
-475.59597334,-1.89260500,-131.94680000
-475.49597335,-1.89565700,-131.71790000
-475.39597335,-1.89809900,-131.59580000
-475.29597336,-1.90115100,-131.22960000
-475.19597337,-1.90359200,-131.15330000
-475.09597337,-1.90694900,-130.75650000
-474.99597338,-1.90984800,-130.29880000
-474.89597338,-1.91137400,-130.39030000
-474.79597339,-1.91442600,-130.92440000
-474.69597340,-1.91732500,-129.56630000
-474.59597340,-1.92022500,-129.56630000
-474.49597341,-1.92388700,-129.67310000
-474.39597341,-1.92663300,-129.26110000
-474.29597342,-1.92877000,-128.84910000
-474.19597342,-1.93136400,-128.81860000
-474.09597343,-1.93487300,-128.42190000
-473.99597344,-1.93792500,-128.62020000
-473.89597344,-1.93990900,-127.96410000
-473.79597345,-1.94189300,-127.84200000
-473.69597345,-1.94494500,-127.53680000
-473.59597346,-1.94769100,-127.46050000
-473.49597347,-1.95074300,-127.30800000
-473.39597347,-1.95196400,-124.53080000
-473.29597348,-1.95486300,-126.75860000
-473.19597348,-1.95883000,-126.75860000
