Time,Channel A,Channel B
(us),(V),(V)

-480.11663603,-2.26249000,-0.09778130
-480.01663603,-2.25867500,-0.09826960
-479.91663604,-2.25714900,-0.09900205
-479.81663604,-2.25333400,-0.09955138
-479.71663605,-2.25119800,-0.10043640
-479.61663606,-2.24829900,-0.10061950
-479.51663606,-2.24509400,-0.10016170
-479.41663607,-2.24326300,-0.10156560
-479.31663607,-2.23914300,-0.10205390
-479.21663608,-2.23715900,-0.10257270
-479.11663609,-2.23395500,-0.10300000
-479.01663609,-2.23075100,-0.10296950
-478.91663610,-2.22754600,-0.10364090
-478.81663610,-2.22388400,-0.10461740
-478.71663611,-2.22205300,-0.10483110
-478.61663612,-2.21976400,-0.10525830
-478.51663612,-2.21655900,-0.10568560
-478.41663613,-2.21213400,-0.10599080
-478.31663613,-2.20954000,-0.10675370
-478.21663614,-2.20694600,-0.10724200
-478.11663615,-2.20419900,-0.10769980
-478.01663615,-2.20114800,-0.10769980
-477.91663616,-2.19824800,-0.10885950
-477.81663616,-2.19565400,-0.10861540
-477.71663617,-2.19199200,-0.10956150
-477.61663618,-2.18848200,-0.10995820
-477.51663618,-2.18619300,-0.11032440
-477.41663619,-2.18237900,-0.11072120
-477.31663619,-2.18070000,-0.11117890
-477.21663620,-2.17703800,-0.11200290
-477.11663620,-2.17474900,-0.11285740
-477.01663621,-2.17139200,-0.11258280
-476.91663622,-2.16742400,-0.11313210
-476.81663622,-2.16315200,-0.11374250
-476.71663623,-2.15949000,-0.11404770
-476.61663623,-2.15689600,-0.11462750
-476.51663624,-2.15399600,-0.11508530
-476.41663625,-2.15048700,-0.11554310
-476.31663625,-2.14667200,-0.11551260
-476.21663626,-2.14362000,-0.11615340
-476.11663626,-2.14056800,-0.11697740
-476.01663627,-2.13705900,-0.11740470
-475.91663628,-2.13385400,-0.11825920
-475.81663628,-2.13095500,-0.11749630
-475.71663629,-2.12637700,-0.11828970
-475.61663629,-2.12332500,-0.11923580
-475.51663630,-2.12149400,-0.11981570
-475.41663631,-2.11722200,-0.11981570
-475.31663631,-2.11279600,-0.11993770
-475.21663632,-2.10943900,-0.12067020
-475.11663632,-2.10547200,-0.12155520
-475.01663633,-2.10211500,-0.12201300
-474.91663634,-2.09921600,-0.12213510
-474.81663634,-2.09509600,-0.12207400
-474.71663635,-2.09204400,-0.12271490
-474.61663635,-2.08792400,-0.12366100
-474.51663636,-2.08426200,-0.12411880
-474.41663637,-2.08166700,-0.12460710
-474.31663637,-2.07785300,-0.12439340
-474.21663638,-2.07312200,-0.12485120
-474.11663638,-2.06946000,-0.12518690
-474.01663639,-2.06579800,-0.12656030
-473.91663639,-2.06213600,-0.12646870
-473.81663640,-2.05847300,-0.12646870
-473.71663641,-2.05542200,-0.12701800
-473.61663641,-2.05099700,-0.12735370
-473.51663642,-2.04702900,-0.12851340
-473.41663642,-2.04306200,-0.12878810
-473.31663643,-2.03939900,-0.12881860
-473.21663644,-2.03512700,-0.12924590
-473.11663644,-2.03146500,-0.12985630
-473.01663645,-2.02765000,-0.12988680
-472.91663645,-2.02398800,-0.13122960
-472.81663646,-2.01879900,-0.13083290
-472.71663647,-2.01452700,-0.13064970
-472.61663647,-2.01086400,-0.13196200
-472.51663648,-2.00689700,-0.13272500
-472.41663648,-2.00323500,-0.13299970
-472.31663649,-1.99942000,-0.13299970
-472.21663650,-1.99484200,-0.13315230
-472.11663650,-1.99057000,-0.13354900
-472.01663651,-1.98767100,-0.13480030
-471.91663651,-1.98294000,-0.13516650
-471.81663652,-1.97851500,-0.13455610
-471.71663653,-1.97454800,-0.13519700
-471.61663653,-1.96997000,-0.13586840
-471.51663654,-1.96646000,-0.13620410
-471.41663654,-1.96249300,-0.13736380
-471.31663655,-1.95745700,-0.13681450
-471.21663656,-1.95287900,-0.13733330
-471.11663656,-1.94998000,-0.13788260
-471.01663657,-1.94525000,-0.13870660
-470.91663657,-1.94143500,-0.13904230
-470.81663658,-1.93670500,-0.13898130
-470.71663658,-1.93227900,-0.13925600
-470.61663659,-1.92800700,-0.13989680
-470.51663660,-1.92342900,-0.14035460
-470.41663660,-1.91961400,-0.14078190
-470.31663661,-1.91503600,-0.14102600
-470.21663661,-1.91091600,-0.14133120
-470.11663662,-1.90618600,-0.14175850
-470.01663663,-1.90176100,-0.14233830
-469.91663663,-1.89794600,-0.14261300
-469.81663664,-1.89397900,-0.14294870
-469.71663664,-1.88787500,-0.14313180
-469.61663665,-1.88329700,-0.14368110
-469.51663666,-1.87963500,-0.14410840
-469.41663666,-1.87505700,-0.14493240
-469.31663667,-1.86971700,-0.14447460
-469.21663667,-1.86681700,-0.14539020
-469.11663668,-1.86239200,-0.14593950
-469.01663669,-1.85644100,-0.14624470
-468.91663669,-1.85247300,-0.14584800
-468.81663670,-1.84682800,-0.14658040
-468.71663670,-1.84255500,-0.14700770
-468.61663671,-1.83828200,-0.14755700
-468.51663672,-1.83401000,-0.14819790
-468.41663672,-1.82973700,-0.14822840
-468.31663673,-1.82424400,-0.14838100
-468.21663673,-1.81981900,-0.14889980
-468.11663674,-1.81478300,-0.14923550
-468.01663675,-1.81035800,-0.14993740
-467.91663675,-1.80547500,-0.15015110
-467.81663676,-1.80105000,-0.15009000
-467.71663676,-1.79525100,-0.15033420
-467.61663677,-1.79082600,-0.15131080
-467.51663677,-1.78746900,-0.15167700
-467.41663678,-1.78197600,-0.15173800
-467.31663679,-1.77755100,-0.15158540
-467.21663679,-1.77205700,-0.15247050
-467.11663680,-1.76717400,-0.15314190
-467.01663680,-1.76320700,-0.15356910
-466.91663681,-1.75740800,-0.15329450
-466.81663682,-1.75145700,-0.15363020
-466.71663682,-1.74749000,-0.15430160
-466.61663683,-1.74306500,-0.15478990
-466.51663683,-1.73909700,-0.15488140
-466.41663684,-1.73314600,-0.15506460
-466.31663685,-1.72826300,-0.15543080
-466.21663685,-1.72353300,-0.15573600
-466.11663686,-1.71910800,-0.15677360
-466.01663686,-1.71346200,-0.15640740
-465.91663687,-1.70720500,-0.15640740
-465.81663688,-1.70308500,-0.15744500
-465.71663688,-1.69789700,-0.15805540
-465.61663689,-1.69454000,-0.15796380
-465.51663689,-1.68706300,-0.15796380
-465.41663690,-1.68279100,-0.15860470
-465.31663691,-1.67683900,-0.15866570
-465.21663691,-1.67302500,-0.15988650
-465.11663692,-1.66570000,-0.15964230
-465.01663692,-1.66219100,-0.15942870
-464.91663693,-1.65608700,-0.15997800
-464.81663693,-1.65135700,-0.16055790
-464.71663694,-1.64555800,-0.16083250
-464.61663695,-1.64037000,-0.16122930
-464.51663695,-1.63472400,-0.16098510
-464.41663696,-1.63014600,-0.16165650
-464.31663696,-1.62541600,-0.16241950
-464.21663697,-1.62129600,-0.16263310
-464.11663698,-1.61427700,-0.16235850
-464.01663698,-1.61030900,-0.16284680
-463.91663699,-1.60466300,-0.16351820
-463.81663699,-1.59886500,-0.16376230
-463.71663700,-1.59413400,-0.16409800
-463.61663701,-1.58803100,-0.16345710
-463.51663701,-1.58299500,-0.16431160
-463.41663702,-1.57811200,-0.16489150
-463.31663702,-1.57292400,-0.16510510
-463.21663703,-1.56682000,-0.16537980
-463.11663704,-1.56193700,-0.16537980
-463.01663704,-1.55659700,-0.16589860
-462.91663705,-1.55095100,-0.16641740
-462.81663705,-1.54515200,-0.16684470
-462.71663706,-1.53965900,-0.16641740
-462.61663707,-1.53492800,-0.16708880
-462.51663707,-1.52897700,-0.16766870
-462.41663708,-1.52302600,-0.16748560
-462.31663708,-1.51921100,-0.16788230
-462.21663709,-1.51280200,-0.16852320
-462.11663710,-1.50654600,-0.16840110
-462.01663710,-1.50212100,-0.16907250
-461.91663711,-1.49571200,-0.16904200
-461.81663711,-1.48976100,-0.16910310
-461.71663712,-1.48487800,-0.16943880
-461.61663712,-1.47846900,-0.16989650
-461.51663713,-1.47373900,-0.17023230
-461.41663714,-1.46794000,-0.17053740
-461.31663714,-1.46137900,-0.17081210
-461.21663715,-1.45603800,-0.17084260
-461.11663715,-1.45039200,-0.17148350
-461.01663716,-1.44474600,-0.17194130
-460.91663717,-1.43879500,-0.17136140
-460.81663717,-1.43330200,-0.17230750
-460.71663718,-1.42735100,-0.17218540
-460.61663718,-1.42140000,-0.17270420
-460.51663719,-1.41651700,-0.17300940
-460.41663720,-1.41056500,-0.17258220
-460.31663720,-1.40522500,-0.17340620
-460.21663721,-1.39942600,-0.17374190
-460.11663721,-1.39393300,-0.17377240
-460.01663722,-1.38676100,-0.17392500
-459.91663723,-1.38157300,-0.17462690
-459.81663723,-1.37546900,-0.17465740
-459.71663724,-1.37043400,-0.17502360
-459.61663724,-1.36478800,-0.17523730
-459.51663725,-1.35837900,-0.17508470
-459.41663726,-1.35334300,-0.17566450
-459.31663726,-1.34647700,-0.17603080
-459.21663727,-1.34022000,-0.17600020
-459.11663727,-1.33488000,-0.17615280
-459.01663728,-1.32877600,-0.17664110
-458.91663729,-1.32343500,-0.17664110
-458.81663729,-1.31717900,-0.17740410
-458.71663730,-1.31153300,-0.17722100
-458.61663730,-1.30497100,-0.17728200
-458.51663731,-1.29917300,-0.17767880
-458.41663731,-1.29291700,-0.17777030
-458.31663732,-1.28666000,-0.17825860
-458.21663733,-1.28177700,-0.17841120
-458.11663733,-1.27597900,-0.17856380
-458.01663734,-1.26957000,-0.17871640
-457.91663734,-1.26422900,-0.17950990
-457.81663735,-1.25751500,-0.17950990
-457.71663736,-1.25095400,-0.17938780
-457.61663736,-1.24454500,-0.17941830
-457.51663737,-1.23737300,-0.17987610
-457.41663737,-1.23340600,-0.18036440
-457.31663738,-1.22608100,-0.18063910
-457.21663739,-1.21982500,-0.18018130
-457.11663739,-1.21402600,-0.18054750
-457.01663740,-1.20929600,-0.18082220
-456.91663740,-1.20273400,-0.18137150
-456.81663741,-1.19663100,-0.18146310
-456.71663742,-1.18915400,-0.18146310
-456.61663742,-1.18396600,-0.18179880
-456.51663743,-1.17725100,-0.18192080
-456.41663743,-1.17221600,-0.18228710
-456.31663744,-1.16473900,-0.18231760
-456.21663745,-1.15878800,-0.18259220
-456.11663745,-1.15253200,-0.18298900
-456.01663746,-1.14703800,-0.18286690
-455.91663746,-1.14062900,-0.18323310
-455.81663747,-1.13422000,-0.18344680
-455.71663748,-1.12842200,-0.18482010
-455.61663748,-1.12155500,-0.18353830
-455.51663749,-1.11636700,-0.18506420
-455.41663749,-1.10980600,-0.18277530
-455.31663750,-1.10293900,-0.18448440
-455.21663750,-1.09698800,-0.18472850
-455.11663751,-1.08951100,-0.18442340
-455.01663752,-1.08386500,-0.18521680
-454.91663752,-1.07791400,-0.18466750
-454.81663753,-1.07135200,-0.18475910
-454.71663753,-1.06494300,-0.18567460
-454.61663754,-1.05884000,-0.18561360
-454.51663755,-1.05258300,-0.18552200
-454.41663755,-1.04648000,-0.18564410
-454.31663756,-1.03976600,-0.18616290
-454.21663756,-1.03396700,-0.18576620
-454.11663757,-1.02755800,-0.18958100
-454.01663758,-1.02176000,-0.18762780
-453.91663758,-1.01397800,-0.18494220
-453.81663759,-1.00726300,-0.18686480
