Time,Channel A,Channel B
(us),(V),(V)

-480.19850510,-1.88085600,-0.16025270
-480.09850511,-1.87734600,-0.16049680
-479.99850511,-1.87185300,-0.16083250
-479.89850512,-1.86864800,-0.16125980
-479.79850513,-1.86422300,-0.16153450
-479.69850513,-1.85934000,-0.16229740
-479.59850514,-1.85476200,-0.16217540
-479.49850514,-1.85033700,-0.16269420
-479.39850515,-1.84499600,-0.16345710
-479.29850516,-1.84118200,-0.16360970
-479.19850516,-1.83736700,-0.16425060
-479.09850517,-1.83278900,-0.16443370
-478.99850517,-1.82821100,-0.16495250
-478.89850518,-1.82378600,-0.16556290
-478.79850518,-1.81981900,-0.16571550
-478.69850519,-1.81447800,-0.16592910
-478.59850520,-1.80944200,-0.16650900
-478.49850520,-1.80532200,-0.16690570
-478.39850521,-1.79967700,-0.16687520
-478.29850521,-1.79555700,-0.16763820
-478.19850522,-1.79158900,-0.16776030
-478.09850523,-1.78685900,-0.16821800
-477.99850523,-1.78182300,-0.16879790
-477.89850524,-1.77724500,-0.16898100
-477.79850524,-1.77251500,-0.16922510
-477.69850525,-1.76732700,-0.16983550
-477.59850526,-1.76366500,-0.17014070
-477.49850526,-1.75847600,-0.17065950
-477.39850527,-1.75405100,-0.17093420
-477.29850527,-1.74871100,-0.17099520
-477.19850528,-1.74367500,-0.17166660
-477.09850529,-1.73909700,-0.17200230
-476.99850529,-1.73543500,-0.17230750
-476.89850530,-1.72978900,-0.17267370
-476.79850530,-1.72460100,-0.17307050
-476.69850531,-1.72078600,-0.17346720
-476.59850532,-1.71529300,-0.17392500
-476.49850532,-1.71010500,-0.17426070
-476.39850533,-1.70613700,-0.17450480
-476.29850533,-1.70079600,-0.17508470
-476.19850534,-1.69606600,-0.17538990
-476.09850535,-1.69057300,-0.17548140
-475.99850535,-1.68553700,-0.17593920
-475.89850536,-1.68019700,-0.17612230
-475.79850536,-1.67622900,-0.17670220
-475.69850537,-1.67088800,-0.17661060
-475.59850537,-1.66585300,-0.17743460
-475.49850538,-1.66097000,-0.17767880
-475.39850539,-1.65593400,-0.17798390
-475.29850539,-1.65105100,-0.17816710
-475.19850540,-1.64601600,-0.17862480
-475.09850540,-1.64113300,-0.17902160
-474.99850541,-1.63518200,-0.17938780
-474.89850542,-1.63121400,-0.17966250
-474.79850542,-1.62663700,-0.17999820
-474.69850543,-1.62038000,-0.18030340
-474.59850543,-1.61519200,-0.18066960
-474.49850544,-1.60954600,-0.18076110
-474.39850545,-1.60466300,-0.18115790
-474.29850545,-1.60023800,-0.18167670
-474.19850546,-1.59474500,-0.18192080
-474.09850546,-1.58894600,-0.18219550
-473.99850547,-1.58406300,-0.18259220
-473.89850548,-1.57796000,-0.18311110
-473.79850548,-1.57277100,-0.18350780
-473.69850549,-1.56865100,-0.18335520
-473.59850549,-1.56331100,-0.18384350
-473.49850550,-1.55797000,-0.18417920
-473.39850551,-1.55324000,-0.18454540
-473.29850551,-1.54667800,-0.18488110
-473.19850552,-1.54255800,-0.18518630
-473.09850552,-1.53721700,-0.18552200
-472.99850553,-1.53111400,-0.18579670
-472.89850554,-1.52607800,-0.18625450
-472.79850554,-1.52058500,-0.18607140
-472.69850555,-1.51631200,-0.18652910
-472.59850555,-1.51020800,-0.18720050
-472.49850556,-1.50532500,-0.18750570
-472.39850556,-1.49876400,-0.18747520
-472.29850557,-1.49479700,-0.18796350
-472.19850558,-1.48838800,-0.18790250
-472.09850558,-1.48274200,-0.18863490
-471.99850559,-1.47862200,-0.18872650
-471.89850559,-1.47221300,-0.18900110
-471.79850560,-1.46687200,-0.18909270
-471.69850561,-1.46229400,-0.18961150
-471.59850561,-1.45619100,-0.18958100
-471.49850562,-1.45100200,-0.19034390
-471.39850562,-1.44444100,-0.19067960
-471.29850563,-1.43940500,-0.19067960
-471.19850564,-1.43345400,-0.19101530
-471.09850564,-1.42735100,-0.19125950
-470.99850565,-1.42307800,-0.19165620
-470.89850565,-1.41758500,-0.19190040
-470.79850566,-1.41087100,-0.19034390
-470.69850567,-1.40568300,-0.19272440
-470.59850567,-1.39988400,-0.19183940
-470.49850568,-1.39530600,-0.19367050
-470.39850568,-1.38889700,-0.19302960
-470.29850569,-1.38248800,-0.19272440
-470.19850570,-1.37867400,-0.19409770
-470.09850570,-1.37196000,-0.19394510
-469.99850571,-1.36768700,-0.19434190
-469.89850571,-1.36112500,-0.19425030
-469.79850572,-1.35578500,-0.19458600
-469.69850573,-1.34937600,-0.19492170
-469.59850573,-1.34434000,-0.19522690
-469.49850574,-1.33900000,-0.19534900
-469.39850574,-1.33320100,-0.19608140
-469.29850575,-1.32892800,-0.19797360
-469.19850575,-1.32145100,-0.19605090
-469.09850576,-1.31626300,-0.19638660
-468.99850577,-1.30787100,-0.19556260
-468.89850577,-1.30344600,-0.19766840
-468.79850578,-1.29764700,-0.19699700
-468.69850578,-1.29200100,-0.19766840
-468.59850579,-1.28620300,-0.19748530
-468.49850580,-1.27964100,-0.19772940
-468.39850580,-1.27414800,-0.19833980
-468.29850581,-1.26865400,-0.19827880
-468.19850581,-1.26224600,-0.19885860
-468.09850582,-1.25705700,-0.19867550
-467.99850583,-1.25156400,-0.19876710
-467.89850583,-1.24607100,-0.19949950
-467.79850584,-1.23950900,-0.19928590
-467.69850584,-1.23325300,-0.19995730
-467.59850585,-1.22821700,-0.19974360
-467.49850586,-1.22135100,-0.19992670
-467.39850586,-1.21555200,-0.20090330
-467.29850587,-1.21051700,-0.20053710
-467.19850587,-1.20426000,-0.20059820
-467.09850588,-1.19785200,-0.20136110
-466.99850589,-1.19281600,-0.20114750
-466.89850589,-1.18610200,-0.20145270
-466.79850590,-1.18030300,-0.20194100
-466.69850590,-1.17374200,-0.20163580
-466.59850591,-1.16855400,-0.20215460
-466.49850592,-1.16245000,-0.20209360
-466.39850592,-1.15558300,-0.20212410
-466.29850593,-1.14963200,-0.20261240
-466.19850593,-1.14474900,-0.20282600
-466.09850594,-1.13635700,-0.20316170
-465.99850594,-1.13040600,-0.20340590
-465.89850595,-1.12460700,-0.20361950
-465.79850596,-1.11957200,-0.20352790
-465.69850596,-1.11392600,-0.20456560
-465.59850597,-1.10675400,-0.20392470
-465.49850597,-1.10080300,-0.20432140
-465.39850598,-1.09408900,-0.20447400
-465.29850599,-1.08844300,-0.20468760
-465.19850599,-1.08279700,-0.20462660
-465.09850600,-1.07623500,-0.20480970
-464.99850600,-1.07150500,-0.20529800
-464.89850601,-1.06326500,-0.20554220
-464.79850602,-1.05777200,-0.20557270
-464.69850602,-1.05182000,-0.20554220
-464.59850603,-1.04648000,-0.20603050
-464.49850603,-1.03961300,-0.20606100
-464.39850604,-1.03335700,-0.20664080
-464.29850605,-1.02740600,-0.20609150
-464.19850605,-1.02084400,-0.20664080
-464.09850606,-1.01397800,-0.20679340
-463.99850606,-1.00833200,-0.20688500
-463.89850607,-1.00283800,-0.20682390
-463.79850608,-0.99597160,-0.20709860
-463.69850608,-0.98986790,-0.20752590
-463.59850609,-0.98391680,-0.20743430
-463.49850609,-0.97781310,-0.20795310
-463.39850610,-0.97033600,-0.20786160
-463.29850611,-0.96484270,-0.20792260
-463.19850611,-0.95812860,-0.20831940
-463.09850612,-0.95171970,-0.20810570
-462.99850612,-0.94576860,-0.20828880
-462.89850613,-0.93951230,-0.20844140
-462.79850613,-0.93432410,-0.20883820
-462.69850614,-0.92684720,-0.20883820
-462.59850615,-0.92028560,-0.20938750
-462.49850615,-0.91418190,-0.20908230
-462.39850616,-0.90777310,-0.20914330
-462.29850616,-0.90136410,-0.20935700
-462.19850617,-0.89571830,-0.20975370
-462.09850618,-0.88839380,-0.20954010
-461.99850618,-0.88244270,-0.20975370
-461.89850619,-0.87542340,-0.21005890
-461.79850619,-0.86947230,-0.20993680
-461.69850620,-0.86336860,-0.21030310
-461.59850621,-0.85619680,-0.21039460
-461.49850621,-0.84963530,-0.21021150
-461.39850622,-0.84353160,-0.21076080
-461.29850622,-0.83849600,-0.21045560
-461.19850623,-0.83239230,-0.21115760
-461.09850624,-0.82506790,-0.21085240
-460.99850624,-0.81850640,-0.21109650
-460.89850625,-0.81148710,-0.21106600
-460.79850625,-0.80568860,-0.21137120
-460.69850626,-0.79897460,-0.21118810
-460.59850627,-0.79103980,-0.21140170
-460.49850627,-0.78508870,-0.21167640
-460.39850628,-0.77944270,-0.21161530
-460.29850628,-0.77303390,-0.21179850
-460.19850629,-0.76616720,-0.21201210
-460.09850630,-0.75914790,-0.21189000
-459.99850630,-0.75304420,-0.21192050
-459.89850631,-0.74648270,-0.21213420
-459.79850631,-0.74053160,-0.21210360
-459.69850632,-0.73305460,-0.21216470
-459.59850632,-0.72679830,-0.21231730
-459.49850633,-0.71993170,-0.21250040
-459.39850634,-0.71443830,-0.21277510
-459.29850634,-0.70726640,-0.21271400
-459.19850635,-0.70024720,-0.21298870
-459.09850635,-0.69475390,-0.21277510
-458.99850636,-0.68773460,-0.21298870
-458.89850637,-0.68025760,-0.21332440
-458.79850637,-0.67506950,-0.21332440
-458.69850638,-0.66728720,-0.21317180
-458.59850638,-0.66087830,-0.21283610
-458.49850639,-0.65385910,-0.21341590
-458.39850640,-0.64806060,-0.21314130
-458.29850640,-0.64119390,-0.21314130
-458.19850641,-0.63402210,-0.21341590
-458.09850641,-0.62837610,-0.21353800
-457.99850642,-0.62166200,-0.21384320
-457.89850643,-0.61449020,-0.21417890
-457.79850643,-0.60838650,-0.21378220
-457.69850644,-0.60213020,-0.21375160
-457.59850644,-0.59434800,-0.21396530
-457.49850645,-0.58824430,-0.21384320
-457.39850646,-0.58198800,-0.21390420
-457.29850646,-0.57573170,-0.21387370
-457.19850647,-0.56810210,-0.21396530
-457.09850647,-0.56215100,-0.21417890
-456.99850648,-0.55528430,-0.21430100
-456.89850649,-0.54795990,-0.21436200
-456.79850649,-0.54185610,-0.21454510
-456.69850650,-0.53514210,-0.21417890
-456.59850650,-0.52827540,-0.21430100
-456.49850651,-0.52171390,-0.21436200
-456.39850651,-0.51438950,-0.21439250
-456.29850652,-0.50828580,-0.21420940
-456.19850653,-0.50035100,-0.21445360
-456.09850653,-0.49378950,-0.21414840
-455.99850654,-0.48738060,-0.21445360
-455.89850654,-0.48081910,-0.21463670
-455.79850655,-0.47502060,-0.21460620
-455.69850656,-0.46815390,-0.21469770
-455.59850656,-0.46189760,-0.21466720
-455.49850657,-0.45411540,-0.21481980
-455.39850657,-0.44755390,-0.21506390
-455.29850658,-0.43992430,-0.21506390
-455.19850659,-0.43488880,-0.21478930
-455.09850659,-0.42832730,-0.21466720
-454.99850660,-0.42039250,-0.21485030
-454.89850660,-0.41413620,-0.21454510
-454.79850661,-0.40757470,-0.21494190
-454.69850662,-0.40040280,-0.21485030
-454.59850662,-0.39384140,-0.21475880
-454.49850663,-0.38743250,-0.21457560
-454.39850663,-0.38117620,-0.21488080
-454.29850664,-0.37430950,-0.21475880
-454.19850665,-0.36683250,-0.21494190
-454.09850665,-0.35996580,-0.21475880
-453.99850666,-0.35264140,-0.21466720
-453.89850666,-0.34592730,-0.21466720
