Time,Channel A,Channel B
(us),(V),(mV)

-480.13444757,-2.43553000,-36.88161000
-480.03444758,-2.43629300,-36.82058000
-479.93444758,-2.43781900,-36.89687000
-479.83444759,-2.43873400,-36.54591000
-479.73444759,-2.43919200,-36.24073000
-479.63444760,-2.44041300,-35.98132000
-479.53444761,-2.44087000,-35.75243000
-479.43444761,-2.44224400,-35.69139000
-479.33444762,-2.44193900,-35.35569000
-479.23444762,-2.44224400,-35.14206000
-479.13444763,-2.44239600,-34.97421000
-479.03444764,-2.44361700,-34.68428000
-478.93444764,-2.44560100,-34.57747000
-478.83444765,-2.44453300,-33.96710000
-478.73444765,-2.44575300,-34.10443000
-478.63444766,-2.44605900,-33.60088000
-478.53444767,-2.44697400,-33.67717000
-478.43444767,-2.44682100,-33.08206000
-478.33444768,-2.44789000,-33.23465000
-478.23444768,-2.44819500,-32.70058000
-478.13444769,-2.45078900,-32.50221000
-478.03444770,-2.45017900,-32.53273000
-477.93444770,-2.45063600,-32.04443000
-477.83444771,-2.45139900,-31.60192000
-477.73444771,-2.45124700,-31.73925000
-477.63444772,-2.45231500,-31.31199000
-477.53444773,-2.45201000,-31.54088000
-477.43444773,-2.45262000,-30.65584000
-477.33444774,-2.45323000,-30.50325000
-477.23444774,-2.45323000,-30.61006000
-477.13444775,-2.45353600,-30.03021000
-477.03444775,-2.45551900,-30.30488000
-476.93444776,-2.45551900,-29.64873000
-476.83444777,-2.45490900,-29.38932000
-476.73444777,-2.45704500,-29.64873000
-476.63444778,-2.45643500,-28.90103000
-476.53444778,-2.45719800,-29.03836000
-476.43444779,-2.45704500,-28.36695000
-476.33444780,-2.45841900,-28.39747000
-476.23444780,-2.45918200,-28.04651000
-476.13444781,-2.46009700,-28.29066000
-476.03444781,-2.45918200,-27.68029000
-475.93444782,-2.46025000,-27.40562000
-475.83444783,-2.46070700,-27.43614000
-475.73444783,-2.46055500,-26.94784000
-475.63444784,-2.46070700,-26.77999000
-475.53444784,-2.46162300,-26.49006000
-475.43444785,-2.46223300,-26.13910000
-475.33444786,-2.46253800,-26.18488000
-475.23444786,-2.46299600,-25.83392000
-475.13444787,-2.46314900,-25.36088000
-475.03444787,-2.46375900,-25.63555000
-474.93444788,-2.46391200,-24.88784000
-474.83444789,-2.46391200,-25.02518000
-474.73444789,-2.46498000,-24.58266000
-474.63444790,-2.46437000,-24.61318000
-474.53444790,-2.46513300,-24.24695000
-474.43444791,-2.46543800,-23.91125000
-474.33444792,-2.46574300,-23.71288000
-474.23444792,-2.46696400,-23.48399000
-474.13444793,-2.46696400,-23.08725000
-474.03444793,-2.46726900,-23.34666000
-473.93444794,-2.46711600,-22.61421000
-473.83444794,-2.46726900,-22.49214000
-473.73444795,-2.46772700,-22.37007000
-473.63444796,-2.46696400,-21.94281000
-473.53444796,-2.46818400,-21.46977000
-473.43444797,-2.46833700,-21.89703000
-473.33444797,-2.46726900,-21.62236000
-473.23444798,-2.46803200,-21.08829000
-473.13444799,-2.46925300,-20.88992000
