Time,Channel A,Channel B
(us),(V),(V)

-480.10429600,1.61946500,-0.07098605
-480.00429601,1.62160100,-0.06970428
-479.90429601,1.62480500,-0.06836146
-479.80429602,1.62785700,-0.06646931
-479.70429603,1.63029900,-0.06549272
-479.60429603,1.63289300,-0.06384473
-479.50429604,1.63564000,-0.06299020
-479.40429604,1.63853900,-0.06140324
-479.30429605,1.64052200,-0.05999939
-479.20429606,1.64235400,-0.05920591
-479.10429606,1.64601600,-0.05761895
-479.00429607,1.64952500,-0.05688650
-478.90429607,1.65150900,-0.05499435
-478.80429608,1.65471400,-0.05249184
-478.70429609,1.65685000,-0.05157628
-478.60429609,1.66005400,-0.04986724
-478.50429610,1.66249600,-0.04907376
-478.40429610,1.66539500,-0.04718161
-478.30429611,1.66753100,-0.04657125
-478.20429612,1.67088800,-0.04486221
-478.10429612,1.67348200,-0.04400769
-478.00429613,1.67561900,-0.04205450
-477.90429613,1.67745000,-0.04058962
-477.80429614,1.68004400,-0.03918577
-477.70429615,1.68370600,-0.03839228
-477.60429615,1.68660500,-0.03668325
-477.50429616,1.68813100,-0.03613392
-477.40429616,1.69087800,-0.03381451
-477.30429617,1.69423500,-0.03259377
-477.20429617,1.69667600,-0.03173925
-477.10429618,1.69850800,-0.03064058
-477.00429619,1.70079600,-0.02856532
-476.90429619,1.70369600,-0.02740562
-476.80429620,1.70583200,-0.02587970
-476.70429620,1.70995200,-0.02435377
-476.60429621,1.71147800,-0.02356029
-476.50429622,1.71361400,-0.02264473
-476.40429622,1.71697100,-0.02056948
-476.30429623,1.71819200,-0.01892148
-476.20429623,1.72170200,-0.01702933
-476.10429624,1.72277000,-0.01660207
-476.00429625,1.72612700,-0.01532029
-475.90429625,1.72826300,-0.01428266
-475.80429626,1.73116200,-0.01263466
-475.70429626,1.73268800,-0.01086459
-475.60429627,1.73680800,-0.01007111
-475.50429628,1.73772400,-0.00872829
-475.40429628,1.73970800,-0.00640889
-475.30429629,1.74184400,-0.00579852
-475.20429629,1.74474300,-0.00415052
-475.10429630,1.74657400,-0.00311289
-475.00429631,1.74871100,-0.00158696
-474.90429631,1.75206800,0.00006104
-474.80429632,1.75359400,0.00048830
-474.70429632,1.75527200,0.00268563
-474.60429633,1.75801900,0.00384533
-474.50429633,1.76107100,0.00537126
-474.40429634,1.76259600,0.00708029
-474.30429635,1.76427500,0.00805689
-474.20429635,1.76656400,0.00939970
-474.10429636,1.76900500,0.01043733
-474.00429636,1.77098900,0.01208533
-473.90429637,1.77449900,0.01342814
-473.80429638,1.77633000,0.01464888
-473.70429638,1.77755100,0.01593066
-473.60429639,1.78014500,0.01757866
-473.50429639,1.78182300,0.01916562
-473.40429640,1.78579100,0.02087466
-473.30429641,1.78746900,0.02160710
-473.20429641,1.78960500,0.02331614
-473.10429642,1.79143700,0.02429273
-473.00429642,1.79342000,0.02563555
-472.90429643,1.79586200,0.02795495
-472.80429644,1.79784500,0.02874844
-472.70429644,1.79921900,0.03064058
-472.60429645,1.80120200,0.03173925
-472.50429645,1.80440700,0.03314310
-472.40429646,1.80501700,0.03399762
-472.30429647,1.80715400,0.03595080
-472.20429647,1.81020500,0.03680532
-472.10429648,1.81173100,0.03790399
-472.00429648,1.81356200,0.03949095
-471.90429649,1.81539400,0.04052858
-471.80429650,1.81737700,0.04211554
-471.70429650,1.82073400,0.04425184
-471.60429651,1.82134500,0.04486221
-471.50429651,1.82348100,0.04632710
-471.40429652,1.82592200,0.04748680
-471.30429652,1.82760100,0.04889065
-471.20429653,1.83019500,0.04998932
-471.10429654,1.83065300,0.05121006
-471.00429654,1.83309400,0.05285806
-470.90429655,1.83553600,0.05395672
-470.80429655,1.83645100,0.05554369
-470.70429656,1.83874000,0.05688650
-470.60429657,1.84072400,0.05798517
-470.50429657,1.84286000,0.05981628
-470.40429658,1.84377600,0.06122013
-470.30429658,1.84682800,0.06250191
-470.20429659,1.84759100,0.06384473
-470.10429660,1.84988000,0.06530961
-470.00429660,1.85155800,0.06671346
-469.90429661,1.85277900,0.06793420
-469.80429661,1.85354200,0.06958220
-469.70429662,1.85583100,0.07031465
-469.60429663,1.85750900,0.07226783
-469.50429663,1.85888200,0.07336649
-469.40429664,1.86132400,0.07489242
-469.30429664,1.86361300,0.07647938
-469.20429665,1.86513900,0.07812738
-469.10429666,1.86590200,0.07873775
-469.00429666,1.86773300,0.08026368
-468.90429667,1.86956400,0.08160649
-468.80429667,1.87154800,0.08325449
-468.70429668,1.87307300,0.08398694
-468.60429669,1.87337900,0.08587909
-468.50429669,1.87536200,0.08600116
-468.40429670,1.87704100,0.08813746
-468.30429670,1.87902500,0.08941923
-468.20429671,1.88116100,0.09076205
-468.10429671,1.88268700,0.09228797
-468.00429672,1.88329700,0.09381390
-467.90429673,1.88528100,0.09479049
-467.80429673,1.88772200,0.09668264
-467.70429674,1.88787500,0.09753716
-467.60429674,1.88924800,0.09875789
-467.50429675,1.89123200,0.09985656
-467.40429676,1.89260500,0.10199290
-467.30429676,1.89413100,0.10315260
-467.20429677,1.89565700,0.10492260
-467.10429677,1.89733600,0.10602130
-467.00429678,1.89809900,0.10705890
-466.90429679,1.90069300,0.10864590
-466.80429679,1.90160800,0.11011080
-466.70429680,1.90282900,0.11127050
-466.60429680,1.90374500,0.11212500
-466.50429681,1.90542300,0.11334570
-466.40429682,1.90649100,0.11517690
-466.30429682,1.90832200,0.11658070
-466.20429683,1.90893300,0.11761830
-466.10429683,1.91015400,0.11902220
-466.00429684,1.91229000,0.12054810
-465.90429685,1.91366300,0.12182990
-465.80429685,1.91412100,0.12347790
-465.70429686,1.91427400,0.12433240
-465.60429686,1.91686800,0.12616350
-465.50429687,1.91763100,0.12695700
-465.40429688,1.91991900,0.12884910
-465.30429688,1.92037700,0.13037510
-465.20429689,1.92297100,0.13171790
-465.10429689,1.92342900,0.13269450
-465.00429690,1.92480200,0.13440350
-464.90429690,1.92541300,0.13525800
-464.80429691,1.92678600,0.13647880
-464.70429692,1.92800700,0.13763850
-464.60429692,1.93029600,0.14050720
-464.50429693,1.93121100,0.13928650
-464.40429693,1.93182200,0.14185000
-464.30429694,1.93334800,0.14313180
-464.20429695,1.93411100,0.14477980
-464.10429695,1.93548400,0.14593950
-464.00429696,1.93639900,0.14728230
-463.90429696,1.93701000,0.14825890
-463.80429697,1.93884100,0.14972380
-463.70429698,1.93990900,0.15088350
-463.60429698,1.94128200,0.15253150
-463.50429699,1.94128200,0.15381330
-463.40429699,1.94219800,0.15485090
-463.30429700,1.94296100,0.15625480
-463.20429701,1.94463900,0.15771970
-463.10429701,1.94509700,0.15833000
-463.00429702,1.94631800,0.15979490
-462.90429702,1.94677600,0.16162600
-462.80429703,1.94830200,0.16235850
-462.70429704,1.94860700,0.16357920
-462.60429704,1.94952200,0.16461680
-462.50429705,1.95059000,0.16687520
-462.40429705,1.95165900,0.16736350
-462.30429706,1.95318500,0.16882840
-462.20429707,1.95410000,0.17047640
-462.10429707,1.95455800,0.17151400
-462.00429708,1.95486300,0.17285680
-461.90429708,1.95593100,0.17419970
-461.80429709,1.95654200,0.17511520
-461.70429709,1.95806800,0.17639700
-461.60429710,1.95852500,0.17780080
-461.50429711,1.95898300,0.17950990
-461.40429711,1.96035600,0.18042540
-461.30429712,1.96127200,0.18140200
-461.20429712,1.96218800,0.18311110
-461.10429713,1.96264500,0.18384350
-461.00429714,1.96356100,0.18561360
-460.90429714,1.96356100,0.18671220
-460.80429715,1.96462900,0.18811610
-460.70429715,1.96523900,0.18945890
-460.60429716,1.96646000,0.19031340
-460.50429717,1.96646000,0.19208350
-460.40429717,1.96737600,0.19367050
-460.30429718,1.96752800,0.19513540
-460.20429718,1.96829100,0.19586780
-460.10429719,1.97042800,0.19739370
-460.00429720,1.96997000,0.19824820
-459.90429720,1.97012200,0.19953000
-459.80429721,1.97088500,0.20087280
-459.70429721,1.97119100,0.20221560
-459.60429722,1.97225900,0.20361950
-459.50429723,1.97271600,0.20484020
-459.40429723,1.97347900,0.20661030
-459.30429724,1.97439500,0.20728170
-459.20429724,1.97439500,0.20905180
-459.10429725,1.97500500,0.20972320
-459.00429726,1.97439500,0.21161530
-458.90429726,1.97515800,0.21271400
-458.80429727,1.97546300,0.21381270
-458.70429727,1.97729400,0.21503340
-458.60429728,1.97668400,0.21619310
-458.50429728,1.97698900,0.21723080
-458.40429729,1.97790500,0.21893980
-458.30429730,1.97866800,0.22009950
-458.20429730,1.97943100,0.22119820
-458.10429731,1.97927800,0.22260200
-458.00429731,1.97988800,0.22333440
-457.90429732,1.98019300,0.22492140
-457.80429733,1.97943100,0.22669150
-457.70429733,1.98004100,0.22742390
-457.60429734,1.98126200,0.22956020
-457.50429734,1.98156700,0.23023160
-457.40429735,1.98141400,0.23169650
-457.30429736,1.98187200,0.23279520
-457.20429736,1.98171900,0.23395490
-457.10429737,1.98294000,0.23535870
-457.00429737,1.98217700,0.23645740
-456.90429738,1.98278800,0.23798330
-456.80429739,1.98294000,0.23877680
-456.70429739,1.98416100,0.24030270
-456.60429740,1.98324500,0.24164560
-456.50429740,1.98385600,0.24243900
-456.40429741,1.98431300,0.24402600
-456.30429742,1.98339800,0.24488050
-456.20429742,1.98446600,0.24585710
-456.10429743,1.98431300,0.24744410
-456.00429743,1.98446600,0.24866480
-455.90429744,1.98416100,0.24976350
-455.80429745,1.98538200,0.25116730
-455.70429745,1.98446600,0.25275430
-455.60429746,1.98507600,0.25348680
-455.50429746,1.98431300,0.25458540
-455.40429747,1.98416100,0.25574510
-455.30429747,1.98538200,0.25714900
-455.20429748,1.98538200,0.25763730
-455.10429749,1.98477100,0.25971250
-455.00429749,1.98400800,0.26056700
-454.90429750,1.98400800,0.26227610
-454.80429750,1.98507600,0.26300850
-454.70429751,1.98553400,0.26429030
-454.60429752,1.98538200,0.26557210
-454.50429752,1.98568700,0.26728110
-454.40429753,1.98538200,0.26758630
-454.30429753,1.98522900,0.26874600
-454.20429754,1.98522900,0.27027190
-454.10429755,1.98538200,0.27143160
-454.00429755,1.98538200,0.27259130
-453.90429756,1.98461900,0.27362900
-453.80429756,1.98431300,0.27442240
-453.70429757,1.98431300,0.27607040
-453.60429758,1.98446600,0.27753530
-453.50429758,1.98400800,0.27814570
-453.40429759,1.98431300,0.27948850
-453.30429759,1.98278800,0.28040410
-453.20429760,1.98202500,0.28040410
-453.10429761,1.98324500,0.28388320
-453.00429761,1.98187200,0.28333380
-452.90429762,1.98339800,0.28577530
-452.80429762,1.98248200,0.28626360
-452.70429763,1.98217700,0.28742330
-452.60429764,1.98339800,0.28803370
-452.50429764,1.98095600,0.29017000
-452.40429765,1.98202500,0.29126860
-452.30429765,1.98049900,0.29230630
-452.20429766,1.98171900,0.29322180
-452.10429766,1.98034600,0.29462570
-452.00429767,1.98004100,0.29572440
-451.90429768,1.97988800,0.29694510
-451.80429768,1.97836200,0.29853210
-451.70429769,1.97836200,0.29871520
-451.60429769,1.97805700,0.30024110
-451.50429770,1.97866800,0.30152290
-451.40429771,1.97759900,0.30304880
-451.30429771,1.97805700,0.30402540
