Time,Channel A,Channel B
(us),(V),(V)

-480.18473899,-2.39661900,0.01586962
-480.08473900,-2.39845000,0.01544237
-479.98473900,-2.40028100,0.01489303
-479.88473901,-2.40180700,0.01422163
-479.78473901,-2.40348500,0.01406903
-479.68473902,-2.40485900,0.01336711
-479.58473903,-2.40577400,0.01281777
-479.48473903,-2.40745300,0.01239051
-479.38473904,-2.40882600,0.01171911
-479.28473904,-2.41126800,0.01144444
-479.18473905,-2.41142000,0.01092563
-479.08473906,-2.41401400,0.01031526
-478.98473906,-2.41493000,0.00976592
-478.88473907,-2.41599800,0.00961333
-478.78473907,-2.41706600,0.00915555
-478.68473908,-2.41859200,0.00866726
-478.58473908,-2.41996500,0.00781274
-478.48473909,-2.41996500,0.00720237
-478.38473910,-2.42210100,0.00720237
-478.28473910,-2.42332200,0.00653096
-478.18473911,-2.42408500,0.00598163
-478.08473911,-2.42530600,0.00552385
-477.98473912,-2.42744200,0.00491348
-477.88473913,-2.42759500,0.00491348
-477.78473913,-2.42957900,0.00421155
-477.68473914,-2.43095200,0.00311289
-477.58473914,-2.43141000,0.00305185
-477.48473915,-2.43141000,0.00268563
-477.38473916,-2.43354600,0.00189215
-477.28473916,-2.43537700,0.00131230
-477.18473917,-2.43583500,0.00131230
-477.08473917,-2.43751300,0.00042726
-476.98473918,-2.43751300,0.00018311
-476.88473919,-2.43888700,-0.00012207
-476.78473919,-2.43949700,-0.00115970
-476.68473920,-2.44056500,-0.00122074
-476.58473920,-2.44163300,-0.00192267
-476.48473921,-2.44224400,-0.00231941
-476.38473922,-2.44331200,-0.00259407
-476.28473922,-2.44422700,-0.00344859
-476.18473923,-2.44346500,-0.00378430
-476.08473923,-2.44499000,-0.00405896
-475.98473924,-2.44636400,-0.00482192
-475.88473925,-2.44636400,-0.00515763
-475.78473925,-2.44834700,-0.00601215
-475.68473926,-2.44727900,-0.00619526
-475.58473926,-2.44895800,-0.00686667
-475.48473927,-2.44819500,-0.00726341
-475.38473927,-2.44895800,-0.00759911
-475.28473928,-2.44956800,-0.00808741
-475.18473929,-2.45002600,-0.00854518
-475.08473929,-2.45063600,-0.00939970
-474.98473930,-2.45155200,-0.00991852
-474.88473930,-2.45048400,-0.00894192
-474.78473931,-2.45201000,-0.01144444
-474.68473932,-2.45109400,-0.01013215
-474.58473932,-2.45246700,-0.01193274
-474.48473933,-2.45323000,-0.01257363
-474.38473933,-2.45338300,-0.01257363
-474.28473934,-2.45399300,-0.01321451
-474.18473935,-2.45384100,-0.01364177
-474.08473935,-2.45445100,-0.01409955
-473.98473936,-2.45521400,-0.01467940
-473.88473936,-2.45445100,-0.01525925
-473.78473937,-2.45536700,-0.01565599
-473.68473938,-2.45521400,-0.01599170
-473.58473938,-2.45490900,-0.01644948
-473.48473939,-2.45628200,-0.01776177
-473.38473939,-2.45704500,-0.01922666
-473.28473940,-2.45674000,-0.01837214
-473.18473941,-2.45674000,-0.01846370
-473.08473941,-2.45597700,-0.01861629
-472.98473942,-2.45582400,-0.01992859
-472.88473942,-2.45597700,-0.02002014
-472.78473943,-2.45658700,-0.02053896
-472.68473944,-2.45628200,-0.02102725
-472.58473944,-2.45658700,-0.02145451
-472.48473945,-2.45628200,-0.02218696
-472.38473945,-2.45628200,-0.02237007
-472.28473946,-2.45551900,-0.02294992
-472.18473946,-2.45628200,-0.02356029
-472.08473947,-2.45582400,-0.02404859
-471.98473948,-2.45536700,-0.02423170
-471.88473948,-2.45597700,-0.02505570
-471.78473949,-2.45490900,-0.02539140
-471.68473949,-2.45490900,-0.02591021
-471.58473950,-2.45597700,-0.02652058
-471.48473951,-2.45368800,-0.02679525
-471.38473951,-2.45353600,-0.02737510
-471.28473952,-2.45445100,-0.02792444
-471.18473952,-2.45353600,-0.02844325
-471.08473953,-2.45262000,-0.02868740
-470.98473954,-2.45246700,-0.02960295
-470.88473954,-2.45246700,-0.02954192
-470.78473955,-2.45078900,-0.03030488
-470.68473955,-2.45063600,-0.03097629
-470.58473956,-2.45063600,-0.03115940
-470.48473957,-2.44972100,-0.03170873
-470.38473957,-2.44819500,-0.03225806
-470.28473958,-2.44834700,-0.03265481
-470.18473958,-2.44697400,-0.03323466
-470.08473959,-2.44758400,-0.03363140
-469.98473960,-2.44682100,-0.03424177
-469.88473960,-2.44727900,-0.03454695
-469.78473961,-2.44636400,-0.03503525
-469.68473961,-2.44453300,-0.03558458
-469.58473962,-2.44499000,-0.03607288
-469.48473963,-2.44422700,-0.03659169
-469.38473963,-2.44331200,-0.03698843
-469.28473964,-2.44239600,-0.03775140
-469.18473964,-2.44087000,-0.03793451
-469.08473965,-2.44132800,-0.03820917
-468.98473965,-2.43949700,-0.03918577
-468.88473966,-2.43827600,-0.03936888
-468.78473967,-2.43766600,-0.04004028
-468.68473967,-2.43675000,-0.04025391
-468.58473968,-2.43553000,-0.04074221
-468.48473968,-2.43507200,-0.04123051
-468.38473969,-2.43461400,-0.04217658
-468.28473970,-2.43278300,-0.04196295
-468.18473970,-2.43232500,-0.04309214
-468.08473971,-2.43095200,-0.04339732
-467.98473971,-2.42912100,-0.04425184
-467.88473972,-2.42835800,-0.04446547
-467.78473973,-2.42759500,-0.04464858
-467.68473973,-2.42606900,-0.04522843
-467.58473974,-2.42576400,-0.04553362
-467.48473974,-2.42454300,-0.04596087
-467.38473975,-2.42332200,-0.04623554
-467.28473976,-2.42255900,-0.04739524
-467.18473976,-2.42133900,-0.04779199
-467.08473977,-2.42011800,-0.04800561
-466.98473977,-2.41828700,-0.04858547
-466.88473978,-2.41691300,-0.04886013
-466.78473979,-2.41584500,-0.04940947
-466.68473979,-2.41538700,-0.05005036
-466.58473980,-2.41279300,-0.05041658
-466.48473980,-2.41050500,-0.05053865
-466.38473981,-2.41065700,-0.05145421
-466.28473982,-2.40806300,-0.05163732
-466.18473982,-2.40669000,-0.05252235
-466.08473983,-2.40562200,-0.05252235
-465.98473983,-2.40394300,-0.05334635
-465.88473984,-2.40363800,-0.05346843
-465.78473984,-2.40150100,-0.05438399
-465.68473985,-2.39967000,-0.05471969
-465.58473986,-2.39738200,-0.05468917
-465.48473986,-2.39631300,-0.05560473
-465.38473987,-2.39509300,-0.05578784
-465.28473987,-2.39249800,-0.05658132
-465.18473988,-2.39188800,-0.05700858
-465.08473989,-2.38959900,-0.05691702
-464.98473989,-2.38807300,-0.05774102
-464.88473990,-2.38609000,-0.05816828
-464.78473990,-2.38395300,-0.05871761
-464.68473991,-2.38197000,-0.05923643
-464.58473992,-2.38090200,-0.05948057
-464.48473992,-2.37861300,-0.06054872
-464.38473993,-2.37632400,-0.06024354
-464.28473993,-2.37495000,-0.06109805
-464.18473994,-2.37373000,-0.06161687
-464.08473995,-2.37052500,-0.06158635
-463.98473995,-2.37006700,-0.06286813
-463.88473996,-2.36793100,-0.06241035
-463.78473996,-2.36487900,-0.06329539
-463.68473997,-2.36350600,-0.06399731
-463.58473998,-2.36075900,-0.06411939
-463.48473998,-2.36030100,-0.06518754
-463.38473999,-2.35679200,-0.06491287
-463.28473999,-2.35526600,-0.06546220
-463.18474000,-2.35267200,-0.06613361
-463.08474001,-2.35023000,-0.06656087
-462.98474001,-2.34855200,-0.06683554
-462.88474002,-2.34641600,-0.06726280
-462.78474002,-2.34427900,-0.06775109
-462.68474003,-2.34244800,-0.06857509
-462.58474003,-2.33878600,-0.06854457
-462.48474004,-2.33726000,-0.06900235
-462.38474005,-2.33603900,-0.06936857
-462.28474005,-2.33329300,-0.07000946
-462.18474006,-2.33054600,-0.07068087
-462.08474006,-2.32779900,-0.07095554
-461.98474007,-2.32566300,-0.07156590
-461.88474008,-2.32337400,-0.07177953
-461.78474008,-2.32047500,-0.07214576
-461.68474009,-2.31818600,-0.07303079
-461.58474009,-2.31589700,-0.07300027
-461.48474010,-2.31391300,-0.07376324
-461.38474011,-2.31070900,-0.07388531
-461.28474011,-2.30842000,-0.07470931
-461.18474012,-2.30582600,-0.07492294
-461.08474012,-2.30353700,-0.07535020
-460.98474013,-2.30018000,-0.07586902
-460.88474014,-2.29850100,-0.07617420
-460.78474014,-2.29636500,-0.07675405
-460.68474015,-2.29300800,-0.07705924
-460.58474015,-2.28934600,-0.07757805
-460.48474016,-2.28736200,-0.07773064
-460.38474017,-2.28522600,-0.07861568
-460.28474017,-2.28217400,-0.07898191
-460.18474018,-2.27927500,-0.07925657
-460.08474018,-2.27683300,-0.07962279
-459.98474019,-2.27378200,-0.08023316
-459.88474020,-2.27103500,-0.08059938
-459.78474020,-2.26722000,-0.08111820
-459.68474021,-2.26599900,-0.08145390
-459.58474021,-2.26187900,-0.08166753
-459.48474022,-2.26004800,-0.08233894
-459.38474022,-2.25638600,-0.08261360
-459.28474023,-2.25455500,-0.08310190
-459.18474024,-2.25074000,-0.08355968
-459.08474024,-2.24707800,-0.08386487
-458.98474025,-2.24448400,-0.08438368
-458.88474025,-2.24219500,-0.08499405
-458.78474026,-2.23899100,-0.08526871
-458.68474027,-2.23517600,-0.08554338
-458.58474027,-2.23227600,-0.08618427
-458.48474028,-2.22968200,-0.08648945
-458.38474028,-2.22617300,-0.08679464
-458.28474029,-2.22266300,-0.08722190
-458.18474030,-2.22083200,-0.08786279
-458.08474030,-2.21686500,-0.08832057
-457.98474031,-2.21411800,-0.08871730
-457.88474031,-2.21076100,-0.08880886
-457.78474032,-2.20755600,-0.08920560
-457.68474033,-2.20481000,-0.08987701
-457.58474033,-2.20130000,-0.09039582
-457.48474034,-2.19733300,-0.09057894
-457.38474034,-2.19397600,-0.09112827
-457.28474035,-2.19046600,-0.09161656
-457.18474036,-2.18756700,-0.09189123
-457.08474036,-2.18497300,-0.09244057
-456.98474037,-2.18100500,-0.09259316
-456.88474037,-2.17780100,-0.09338664
-456.78474038,-2.17429100,-0.09338664
-456.68474039,-2.17001900,-0.09387493
-456.58474039,-2.16711900,-0.09442427
-456.48474040,-2.16345700,-0.09436323
-456.38474040,-2.15979500,-0.09537034
-456.28474041,-2.15613300,-0.09552293
-456.18474041,-2.15308100,-0.09576708
-456.08474042,-2.14896100,-0.09646901
-455.98474043,-2.14514600,-0.09686575
-455.88474043,-2.14163600,-0.09701834
-455.78474044,-2.13827900,-0.09765923
-455.68474044,-2.13614300,-0.09793390
-455.58474045,-2.13171800,-0.09808649
-455.48474046,-2.12805600,-0.09897152
-455.38474046,-2.12378300,-0.09900205
-455.28474047,-2.12042600,-0.09939878
-455.18474047,-2.11661100,-0.10003970
-455.08474048,-2.11264400,-0.10022280
-454.98474049,-2.10913400,-0.10068060
-454.88474049,-2.10486100,-0.10110780
-454.78474050,-2.10104700,-0.10129090
-454.68474050,-2.09692700,-0.10184030
-454.58474051,-2.09326500,-0.10223700
-454.48474052,-2.08914400,-0.10232860
-454.38474052,-2.08487200,-0.10275580
-454.28474053,-2.08197300,-0.10348830
-454.18474053,-2.07815800,-0.10357980
-454.08474054,-2.07297000,-0.10422070
-453.98474055,-2.07068100,-0.10455640
-453.88474055,-2.06549300,-0.10467850
-453.78474056,-2.06106800,-0.10528890
-453.68474056,-2.05725300,-0.10580770
